feature,importance
numeric__rolling_yield_3y,0.41135013
numeric__lagged_yield_1y,0.15443204
categorical__crop_name_Chickpea,0.020444605
categorical__state_name_Tamil Nadu,0.018835215
categorical__district_name_Saharsa,0.018399622
categorical__district_name_Muzaffarpur,0.01807505
categorical__state_name_Bihar,0.017935157
numeric__production_growth_rate,0.0141622955
categorical__district_name_Alwar,0.0138464
categorical__state_name_Madhya Pradesh,0.013483957
numeric__area_growth_rate,0.013471375
categorical__state_name_Kerala,0.013357845
categorical__state_name_Maharashtra,0.010051615
categorical__district_name_Shahjahanpur,0.008822405
categorical__crop_name_Sugarcane,0.008746037
categorical__district_name_Warangal,0.008455019
categorical__crop_name_Rabi Sorghum,0.00778852
categorical__district_name_Dharwad,0.0059012496
categorical__state_name_Karnataka,0.0047388733
categorical__state_name_Rajasthan,0.0047334805
categorical__state_name_Chhattisgarh,0.00415065
categorical__district_name_Mahabubnagar,0.004020944
categorical__district_name_Amreli,0.0039332137
categorical__state_name_Telangana,0.003909408
categorical__district_name_Kheda,0.0038825981
categorical__district_name_Mandi,0.003818388
categorical__district_name_Nalgonda,0.003760166
categorical__district_name_Vadodara / Baroda,0.003706228
categorical__district_name_Rohtak,0.0037042692
numeric__area_hectares,0.0034278273
categorical__crop_name_Maize,0.003289201
categorical__state_name_Himachal Pradesh,0.003251702
categorical__district_name_Hyderabad,0.0032418694
categorical__district_name_Kadapa Ysr,0.0031025405
numeric__yield_volatility_3y,0.0029938133
categorical__period_group_2008-2017,0.0029701362
categorical__district_name_Bhagalpur,0.002949256
categorical__district_name_Thanjavur,0.0029134173
categorical__district_name_Lahul & Spiti,0.0028916628
categorical__district_name_Mahendragarh / Narnaul,0.0028488287
categorical__state_name_Haryana,0.0028274003
numeric__year,0.002767485
categorical__district_name_Nadia,0.0027356178
categorical__district_name_Bharatpur,0.0026285297
categorical__district_name_Uttara Kannada,0.0026132267
categorical__state_name_West Bengal,0.0025502976
categorical__crop_name_Minor Pulses,0.002548774
categorical__state_name_Andhra Pradesh,0.002345129
categorical__district_name_Mungair,0.002292229
categorical__district_name_Saharanpur,0.0022391137
categorical__state_name_Punjab,0.0021955348
categorical__district_name_Midnapur,0.0021836383
categorical__district_name_Bhandara,0.0021728335
categorical__crop_name_Cotton,0.0020934138
categorical__district_name_Nagaur,0.0020709068
categorical__district_name_Solan,0.002015917
categorical__state_name_Jharkhand,0.0019119579
categorical__district_name_Adilabad,0.001873072
categorical__state_name_Gujarat,0.0018630697
categorical__district_name_Mayurbhanja,0.0018515455
categorical__district_name_Thirunelveli,0.0018282802
categorical__crop_name_Barley,0.0017713625
categorical__district_name_Purnea,0.0016400516
categorical__state_name_Orissa,0.0016259468
categorical__district_name_Ramananthapuram,0.0016004355
categorical__district_name_Hooghly,0.0015972113
categorical__district_name_Kurnool,0.0015878333
categorical__district_name_Hazaribagh,0.0015776117
categorical__district_name_Kolar,0.0015753416
categorical__district_name_Surendranagar,0.0015693309
categorical__period_group_1978-1987,0.0015574031
categorical__period_group_1988-1997,0.0015505658
categorical__crop_name_Sorghum,0.0015273634
categorical__crop_name_Oilseeds,0.0015255508
categorical__district_name_S.P.S. Nellore,0.0015191277
categorical__state_name_Uttar Pradesh,0.0014975774
categorical__district_name_North Arcot / Vellore,0.0014806669
categorical__district_name_Shimoge,0.001473005
categorical__district_name_Nagpur,0.0014290862
categorical__district_name_Ratlam,0.0013962633
categorical__district_name_Burdwan,0.0013961804
categorical__district_name_Bankura,0.0013760771
categorical__district_name_Krishna,0.0013717093
categorical__district_name_Jhunjhunu,0.0013453086
categorical__district_name_Mandya,0.0013188001
categorical__district_name_Cooch Behar,0.0013037968
categorical__district_name_Nasik,0.0012693402
categorical__district_name_Bangalore,0.0012657113
categorical__crop_name_Rice,0.0012462036
categorical__district_name_Ambala,0.0012343334
categorical__period_group_1998-2007,0.0012333691
categorical__district_name_Kinnaur,0.0011940032
categorical__district_name_Howrah,0.001160534
categorical__crop_name_Pigeonpea,0.0011133585
categorical__district_name_Salem,0.0010659031
categorical__district_name_Khandwa / East Nimar,0.0010343671
categorical__crop_name_Groundnut,0.0010291361
categorical__district_name_Chitradurga,0.0010185858
categorical__district_name_Jalpaiguri,0.001010187
categorical__district_name_Nanded,0.00096892886
categorical__district_name_West Dinajpur,0.0009596878
categorical__district_name_Gulbarga / Kalaburagi,0.00094492204
categorical__district_name_East Godavari,0.00092988636
categorical__district_name_Palakkad,0.0009222413
categorical__state_name_Uttarakhand,0.00090840505
categorical__district_name_Bellary,0.00090659416
